RID,原文斷詞,原文出題,原文答案,原文規則,原文出題規則,原文出題答案
114,橋_物1 的_u1 東邊_f1 ，_w1 有_vyou1 一_m1 隻_q1 白_a1 羊_物2,橋的東邊有什麼?,羊,物1 + u1 + f1 + w1 + vyou1 + m1 + q1 + a1 + 物2,物1 + u1 + f1 + vyou1 + 什麼,物2
115,橋_物1 的_u1 西邊_f1 ，_w1 有_vyou1 一_m1 隻_q1 黑_a1 羊_物2,橋的西邊有什麼?,羊,物1 + u1 + f1 + w1 + vyou1 + m1 + q1 + a1 + 物2,物1 + u1 + f1 + vyou1 + 什麼,物2
116,白_a1 羊_人1 要_v1 過_v2 橋_物1 ，_w1 黑_a2 羊_人2 也_d1 要_v3 過_v4 橋_物2,誰要過橋?,羊,a1 + 人1 + v1 + v2 + 物1 + w1 + a2 + 人2 + d1 + v3 + v4 + 物2,誰 + v1 + v2 + 物1,人1
117,兩_m1 隻_q1 羊_物1 走_v1 到_v2 橋_物2 中間_f1 ，_w1 白_a1 羊_人1 退_v3 回去_v4 ，_w2 讓_v5 黑_a2 羊_物3 先_d1 過_v6 橋_物4,誰先過橋?,羊,m1 + q1 + 物1 + v1 + v2 + 物2 + f1 + w1 + a1 + 人1 + v3 + v4 + w2 + v5 + a2 + 物3 + d1 + v6 + 物4,誰 + d1 + v6 + 物2,人1
118,我_人1 是_vshi1 一_m1 隻_q1 小_a1 蝸牛_物1,我是什麼?,蝸牛,人1 + vshi1 + m1 + q1 + a1 + 物1,人1 + vshi1 + 什麼,物1
119,我_人1 有_vyou1 一個_m1 可愛_a1 的_u1 家_物1,我有一個可愛的什麼?,家,人1 + vyou1 + m1 + a1 + u1 + 物1,人1 + vyou1 + m1 + a1 + u1 + 什麼,物1
120,我_人1 的_u1 家_物1 小小的_z1 ，_w1 只_d1 有_vyou1 一個_m1 房間_物2,我的家只有一個什麼?,房間,人1 + u1 + 物1 + z1 + w1 + d1 + vyou1 + m1 + 物2,人1 + u1 + 物1 + d1 + vyou1 + m1 + 什麼,物2
121,我_人1 每天_r1 辛苦_a1 的_u1 背_物1 著_v1 小_a2 房子_物2 走路_v2,我每天背著什麼走路?,房子,人1 + r1 + a1 + u1 + 物1 + v1 + a2 + 物2 + v2,人1 + r1 + 物1 + v1 + 什麼 + v2,物2
122,我_人1 背_v1 著_v2 小_a1 房子_物1 爬_v3 樹_物2,我背著什麼爬樹?,房子,人1 + v1 + v2 + a1 + 物1 + v3 + 物2,人1 + v1 + v2 + 什麼 + v3 + 物2,物1
123,我_人1 背_v1 著_v2 小_a1 房子_物1 找_v3 食物_物2,我背著小房子找什麼?,食物,人1 + v1 + v2 + a1 + 物1 + v3 + 物2,人1 + v1 + v2 + a1 + 物1 + v3 + 什麼,物2
124,我_人1 天天_q1 背_v1 著_v2 我_r1 的_u1 家_物1 ，_w1 我_人2 愛_v3 我_人3 的_u2 家_物2,我天天背著什麼?,家,人1 + q1 + v1 + v2 + r1 + u1 + 物1 + w1 + 人2 + v3 + 人3 + u2 + 物2,人1 + q1 + v1 + v2 + 什麼,物1
125,在_p1 曼谷_ns1 的_u1 叔叔_人1 開車_v1 來_v2 接_v3 我們_r1,誰開車來接我們?,叔叔,p1 + ns1 + u1 + 人1 + v1 + v2 + v3 + r1,誰 + v1 + v2 + v3 + r1,人1
126,我_人1 好奇_a1 的_u1 問_v1 叔叔_人2 ：_w1 「_w2 那_人3 是_vshi1 什麼_r1 車_物1 ？_w3 」_w4,我好奇問誰那是什麼車?,叔叔,人1 + a1 + u1 + v1 + 人2 + w1 + w2 + 人3 + vshi1 + r1 + 物1 + w3 + w4,人1 + a1 + v1 + 誰 + 人3 + vshi1 + r1 + 物1,人2
127,叔叔_人1 笑_v1 著_v2 說_v3 ：_w1 「_w2 如果_c1 我_r1 沒_d1 開車_v4 來_v5 接_v6 你們_r2 ，_w3 你們_人2 就_d2 可以_v7 坐_v8 嘟嘟_o1 車_物1 來_v9 我家_物2 了_y1 。_w4 」_w5,叔叔說如果我沒開車來接你們可以坐什麼車來我家?,我家,人1 + v1 + v2 + v3 + w1 + w2 + c1 + r1 + d1 + v4 + v5 + v6 + r2 + w3 + 人2 + d2 + v7 + v8 + o1 + 物1 + v9 + 物2 + y1 + w4 + w5,人1 + v3 + c1 + r1 + d1 + v4 + v5 + v6 + r2 + v7 + v8 + 什麼 + 物1 + v5 + r1,物2
128,妹妹_人1 高興_a1 的_u1 說_v1 ：_w1 「_w2 以後_f1 叔叔_n1 你_r1 不要_d1 來_v2 接_v3 我們_r2 ，_w3 我們_人2 就_d2 可以_v4 坐_v5 嘟嘟_o1 車_物1 了_y1 。_w4 」_w5,誰不要叔叔開車來接我們?,妹妹,人1 + a1 + u1 + v1 + w1 + w2 + f1 + n1 + r1 + d1 + v2 + v3 + r2 + w3 + 人2 + d2 + v4 + v5 + o1 + 物1 + y1 + w4 + w5,誰 + d1 + n1 + 物1 + v2 + v3 + r2,人1
129,大家_人1 一_d1 看到_v1 老師_物1 ，_w1 都_d2 向_p1 老師_物2 合_v2 掌_物3 行禮_v3,大家看到老師都做什麼?,老師,人1 + d1 + v1 + 物1 + w1 + d2 + p1 + 物2 + v2 + 物3 + v3,人1 + v1 + 物1 + d2 + 什麼,物2
,,,,,,
131,新_a1 學期_物1 ，_w1 我_人1 有_vyou1 新_a2 希望_物2,新學期我有新的什麼?,希望,a1 + 物1 + w1 + 人1 + vyou1 + a2 + 物2,a1 + 物1 + 人1 + vyou1 + a1 + 什麼,物2
132,我_人1 希望_v1 能_v2 和_p1 同學_物1 一起_s1 讀書_v3 ，_w1 一起_d1 遊戲_v4,希望能和誰一起讀書?,我,人1 + v1 + v2 + p1 + 物1 + s1 + v3 + w1 + d1 + v4,v1 + v2 + p1 + 誰 + s1 + v3,人1
133,春天_時1 太陽_人1 照_v1 在_p1 花兒_物1 上_f1 ，_w1 花兒_人2 開_v2 得_u1 更_d1 美麗_a1,什麼時候太陽照在花兒上?,春天,時1 + 人1 + v1 + p1 + 物1 + f1 + w1 + 人2 + v2 + u1 + d1 + a1,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1
,,,,,,
135,夏天_時1 太陽_人1 照_v1 在_p1 稻子_物1 上_f1 ，_w1 稻子_人2 長_v2 得_u1 更_d1 高大_a1,什麼時候太陽照在稻子上?,夏天,時1 + 人1 + v1 + p1 + 物1 + f1 + w1 + 人2 + v2 + u1 + d1 + a1,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1
,,,,,,
137,秋天_時1 太陽_人1 照_v1 在_p1 果樹_物1 上_f1 ，_w1 果子_人2 熟_a1 得_u1 更_d1 快_a2 了_y1,什麼時候太陽照在果樹上?,秋天,時1 + 人1 + v1 + p1 + 物1 + f1 + w1 + 人2 + a1 + u1 + d1 + a2 + y1,什麼時候 + 人1 + v1 + p1 + 物1 + f1,時1
138,秋天_時1 太陽_人1 照_v1 在_p1 果樹_物1 上_f1 ，_w1 果子_人2 熟_a1 得_u1 更_d1 快_a2 了_y1,什麼東西熟得更快了?,果樹,時1 + 人1 + v1 + p1 + 物1 + f1 + w1 + 人2 + a1 + u1 + d1 + a2 + y1,什麼東西 + a1 + u1 + d1 + a2 + y1,物1
139,冬天_時1 的_u1 太陽_物1 ，_w1 照_v1 在_p1 小花貓_物2 的_u2 身上_物3,什麼時候太陽照在花貓上?,冬天,時1 + u1 + 物1 + w1 + v1 + p1 + 物2 + u2 + 物3,什麼時候 + 物1 + v1 + p1,時1
140,小花貓_人1 睡_v1 得_u1 更_d1 香甜_a1 了_y1,誰睡得更香甜了?,小花貓,人1 + v1 + u1 + d1 + a1 + y1,誰 + v1 + u1 + d1 + a1 + y1,人1
141,有_vyou1 一_m1 天_q1 ，_w1 爸爸_人1 帶_v1 我_人2 去_v2 山上_物1 工作_物2,誰帶我去山上工作?,爸爸,vyou1 + m1 + q1 + w1 + 人1 + v1 + 人2 + v2 + 物1 + 物2,誰 + v1 + 人2 + v2 + 物1 + 物2,人1
142,有_vyou1 一_m1 天_q1 ，_w1 爸爸_人1 帶_v1 我_人2 去_v2 山上_物1 工作_物2,爸爸帶誰去山上工作?,我,vyou1 + m1 + q1 + w1 + 人1 + v1 + 人2 + v2 + 物1 + 物2,人1 + v1 + 誰 + v2 + 物1 + 物2,人2
143,有_vyou1 一_m1 天_q1 ，_w1 爸爸_人1 帶_v1 我_人2 去_v2 山上_物1 工作_物2,爸爸帶我去山上做什麼?,工作,vyou1 + m1 + q1 + w1 + 人1 + v1 + 人2 + v2 + 物1 + 物2,人1 + v1 + 人2 + v2 + 物1 + 什麼,物2
144,爸爸_人1 對_p1 我_人2 說_v1 ：_w1 「_w2 你_r1 可以_v2 帶_v3 彩色_b1 筆_物1 去_v4 山上_物2 畫畫_物3 。_w3 」_w4,可以帶什麼去山上畫畫,筆,人1 + p1 + 人2 + v1 + w1 + w2 + r1 + v2 + v3 + b1 + 物1 + v4 + 物2 + 物3 + w3 + w4,v2 + v3 + 什麼 + v4 + 物2 + 物3,物1
145,爸爸_人1 對_p1 我_人2 說_v1 ：_w1 「_w2 你_r1 可以_v2 帶_v3 彩色_b1 筆_物1 去_v4 山上_物2 畫畫_物3 。_w3 」_w4,可以帶彩色筆去山上做什麼?,畫畫,人1 + p1 + 人2 + v1 + w1 + w2 + r1 + v2 + v3 + b1 + 物1 + v4 + 物2 + 物3 + w3 + w4,v2 + v3 + b1 + 物1 + v4 + 物2 + 什麼,物3
146,有時_d1 白雲_人1 飄_v1 過來_v2 ，_w1 有_vyou1 一半_m1 的_u1 山_物1 在_v3 雲_物2 的_u2 上面_f1,有一半的山在什麼的上面?,雲,d1 + 人1 + v1 + v2 + w1 + vyou1 + m1 + u1 + 物1 + v3 + 物2 + u2 + f1,vyou1 + m1 + u1 + 物1 + v3 + 什麼 + u1 + f1,物2
147,山下_s1 的_u1 河流_物1 變_v1 小_a1 了_y1,山下的什麼變小了?,河流,s1 + u1 + 物1 + v1 + a1 + y1,s1 + u1 + 什麼 + v1 + a1 + y1,物1
148,我_人1 畫_v1 了_y1 一_m1 張_q1 畫_物1,我畫了一張什麼?,畫,人1 + v1 + y1 + m1 + q1 + 物1,人1 + v1 + y1 + m1 + q1 + 什麼,物1
149,畫_物1 裡_f1 有_vyou1 山_物2 ，_w1 有_vyou2 河_物3 ，_w2 還有_v1 房子_物4,畫裡面有什麼?,山,物1 + f1 + vyou1 + 物2 + w1 + vyou2 + 物3 + w2 + v1 + 物4,物1 + f1 + vyou1 + 什麼,物2
150,小鵝跟_人1 在_p1 後頭_f1 走_v1,誰跟在後頭走?,小鵝跟,人1 + p1 + f1 + v1,誰 + p1 + f1 + v1,人1
151,野草_人1 地_物1 小_a1 花_物2 多_a2,草地上什麼多?,花,人1 + 物1 + a1 + 物2 + a2,物1 + 什麼 + a2,物2
152,鵝_人1 媽媽_人2 輕輕_d1 說_v1 別_d2 看_v2 花_物1 向前_v3 走_v4,誰說別看花向前走?,鵝,人1 + 人2 + d1 + v1 + d2 + v2 + 物1 + v3 + v4,誰 + v1 + d2 + v2 + 物1 + v3 + v4,人1
153,小河_物1 彎彎_z1 在_p1 前頭_f1,什麼在前頭?,小河,物1 + z1 + p1 + f1,什麼 + p1 + f1,物1
154,戲弄_v1 綠_a1 波_物1 真_d1 快樂_a2,戲弄什麼真快樂?,波,v1 + a1 + 物1 + d1 + a2,v1 + 什麼 + d1 + a2,物1
155,我_人1 有_vyou1 一個_m1 洋娃娃_物1,我有一個什麼?,洋娃娃,人1 + vyou1 + m1 + 物1,人1 + vyou1 + m1 + 什麼,物1
156,我_人1 有_vyou1 一個_m1 洋娃娃_物1,誰有一個洋娃娃?,我,人1 + vyou1 + m1 + 物1,誰 + vyou1 + m1 + 物1,人1
157,腿_物1 兒_k1 長長_z1,什麼長?,腿,物1 + k1 + z1,什麼,物1
158,眼睛_物1 大_a1,什麼大?,眼睛,物1 + a1,什麼 + a1,物1
159,好像_v1 我_人1 的_u1 小_a1 妹妹_物1,好像我的什麼?,妹妹,v1 + 人1 + u1 + a1 + 物1,v1 + 人1 + u1 + 什麼,物1
160,有_vyou1 一_m1 隻_q1 小_a1 蜘蛛_物1 ，_w1 在_p1 樹上_s1 結_v1 了_y1 一_m2 面_q2 網_物2,蜘蛛在樹上做什麼?,網,vyou1 + m1 + q1 + a1 + 物1 + w1 + p1 + s1 + v1 + y1 + m2 + q2 + 物2,物1 + p1 + s1 + 什麼,物2
161,清早_時1 蜘蛛網_物1 上_f1 有_vyou1 許多_m1 水珠_物2,什麼時候蜘蛛網上有許多水珠?,清早,時1 + 物1 + f1 + vyou1 + m1 + 物2,什麼時候 + 物1 + f1 + vyou1 + m1 + 物2,時1
162,清早_時1 蜘蛛網_物1 上_f1 有_vyou1 許多_m1 水珠_物2,清晨蜘蛛網上有很多什麼?,水珠,時1 + 物1 + f1 + vyou1 + m1 + 物2,物1 + f1 + vyou1 + 什麼,物2
163,每_人1 一_m1 顆_q1 水珠_物1 都_d1 像_v1 珍珠_物2 一樣_u1 閃閃_z1 發光_v2,水珠像什麼一樣閃閃發光?,珍珠,人1 + m1 + q1 + 物1 + d1 + v1 + 物2 + u1 + z1 + v2,物1 + v1 + 什麼 + m1 + z1 + v2,物2
164,蜘蛛網_人1 抓住_v1 了_y1 蚊子_物1 的_u1 腳_物2,什麼抓住了蚊子?,腳,人1 + v1 + y1 + 物1 + u1 + 物2,什麼 + v1 + y1 + 物1,物2
165,一_m1 隻_q1 青蛙_人1 住_v1 在_p1 一_m2 口_q2 又_d1 深_a1 又_d2 黑_a2 的_u1 井_物1 裡_f1,誰住在井裡?,青蛙,m1 + q1 + 人1 + v1 + p1 + m2 + q2 + d1 + a1 + d2 + a2 + u1 + 物1 + f1,誰 + v1 + p1 + 物1 + f1,人1
166,青蛙_人1 在_p1 井_人2 裡_f1 每天_人3 抬_v1 起_v2 頭_物1 來_v3,誰在井裡抬起頭來?,青蛙,人1 + p1 + 人2 + f1 + 人3 + v1 + v2 + 物1 + v3,誰 + p1 + 人2 + f1 + v1 + v2 + 物1 + v3,人1
167,看到_v1 的_u1 只_d1 是_vshi1 一個_m1 圓圓的_z1 小_a1 天空_物1,看到的只是一個什麼?,天空,v1 + u1 + d1 + vshi1 + m1 + z1 + a1 + 物1,v1 + u1 + d1 + vshi1 + m1 + 什麼,物1
168,小鳥_人1 喘_v1 著_v2 氣_人2 說_v3 ：_w1 「_w2 我_r1 飛_v4 了_y1 好久_m1 ，_w3 好_d1 累_a1 喔_y2 ！_w4 」_w5,誰飛了好久好累?,小鳥,人1 + v1 + v2 + 人2 + v3 + w1 + w2 + r1 + v4 + y1 + m1 + w3 + d1 + a1 + y2 + w4 + w5,誰 + v4 + y1 + m1 + d1 + a1,人1
169,小鳥_人1 看_v1 了_y1 看_v2 井_人2 裡_f1 的_u1 青蛙_人3 說_v3 ：_w1 「_w2 你_r1 住_v4 在_p1 井_物1 裡_f2 ，_w3 沒有_d1 看見_v5 外面_f3 的_u2 世界_物2,誰住在井裡沒有看見外面的世界?,小鳥,人1 + v1 + y1 + v2 + 人2 + f1 + u1 + 人3 + v3 + w1 + w2 + r1 + v4 + p1 + 物1 + f2 + w3 + d1 + v5 + f3 + u2 + 物2,誰 + v4 + p1 + 人2 + f1 + d1 + v1 + f3 + u1 + 物2,人1
170,有_vyou1 一_m1 天_q1 ，_w1 爸爸_人1 帶_v1 我_人2 去_v2 上學_v3,爸爸帶誰去上學?,我,vyou1 + m1 + q1 + w1 + 人1 + v1 + 人2 + v2 + v3,人1 + v1 + 誰 + v2 + v3,人2
171,有_vyou1 一_m1 天_q1 ，_w1 爸爸_人1 帶_v1 我_人2 去_v2 上學_v3,誰帶我去上學?,爸爸,vyou1 + m1 + q1 + w1 + 人1 + v1 + 人2 + v2 + v3,誰 + v1 + 人2 + v2 + v3,人1
172,我_人1 看到_v1 路_物1 的_u1 兩旁_f1 插_v2 滿_a1 了_y1 國旗_物2,我看到路兩旁插滿了什麼?,國旗,人1 + v1 + 物1 + u1 + f1 + v2 + a1 + y1 + 物2,人1 + v1 + 物1 + f1 + v2 + a1 + y1 + 什麼,物2
173,我_人1 看到_v1 路_物1 的_u1 兩旁_f1 插_v2 滿_a1 了_y1 國旗_物2,誰看到路兩旁插滿了國旗?,我,人1 + v1 + 物1 + u1 + f1 + v2 + a1 + y1 + 物2,誰 + v1 + 物1 + f1 + v2 + a1 + y1 + 物2,人1
174,我們_人1 的_u1 國旗_物1 有_vyou1 三_m1 種_q1 顏色_物2,國旗有幾種顏色?,我們,人1 + u1 + 物1 + vyou1 + m1 + q1 + 物2,誰 + 物1 + vyou1 + q1 + 物2,人1
175,藍色_人1 是_vshi1 指_v1 國王_物1,藍色指什麼?,國王,人1 + vshi1 + v1 + 物1,人1 + v1 + 什麼,物1
176,白色_人1 是_vshi1 指_v1 宗教_物1,白色指什麼?,宗教,人1 + vshi1 + v1 + 物1,人1 + v1 + 什麼,物1
177,紅色_人1 是_vshi1 指_v1 國家_物1 和_c1 人民_物2,紅色指什麼?,國家,人1 + vshi1 + v1 + 物1 + c1 + 物2,人1 + v1 + 什麼,物1
178,我_人1 對_p1 爸爸_人2 說_v1 ：_w1 「_w2 我_r1 覺得_v2 泰國_ns1 的_u1 國旗_物1 ，_w3 是_vshi1 最_d1 漂亮_a1 的_u2 國旗_物2 。_w4 」_w5,我覺得最漂亮的是哪國國旗?,爸爸,人1 + p1 + 人2 + v1 + w1 + w2 + r1 + v2 + ns1 + u1 + 物1 + w3 + vshi1 + d1 + a1 + u2 + 物2 + w4 + w5,人1 + 誰 + v2 + u1 + 物1 + vshi1 + d1 + a1,人2
179,母親節_時1 快_d1 到_v1 了_y1,什麼節日快到了?,母親節,時1 + d1 + v1 + y1,什麼 + d1 + v1 + y1,時1
180,我_人1 和_p1 姐姐_人2 想_v1 送給_v2 媽媽_物1 一樣_a1 禮物_物2,我和誰送給媽媽一樣禮物?,姐姐,人1 + p1 + 人2 + v1 + v2 + 物1 + a1 + 物2,人1 + p1 + 誰 + v2 + 物1 + a1 + 物2,人2
181,我_人1 和_p1 姐姐_人2 想_v1 送給_v2 媽媽_物1 一樣_a1 禮物_物2,誰和姊姊送給媽媽一樣禮物?,我,人1 + p1 + 人2 + v1 + v2 + 物1 + a1 + 物2,誰 + p1 + v2 + 物1 + a1 + 物2,人1
182,我_人1 和_p1 姐姐_人2 想_v1 送給_v2 媽媽_物1 一樣_a1 禮物_物2,我和姊姊送給誰一樣禮物?,姐姐,人1 + p1 + 人2 + v1 + v2 + 物1 + a1 + 物2,人1 + p1 + v2 + 誰 + a1 + 物2,人2
183,我_人1 和_c1 姐姐_人2 做_v1 了_y1 一_m1 張_q1 卡片_物1,我和誰做了一張卡片?,姐姐,人1 + c1 + 人2 + v1 + y1 + m1 + q1 + 物1,人1 + c1 + 誰 + v1 + y1 + m1 + q1 + 物1,人2
184,我_人1 和_c1 姐姐_人2 做_v1 了_y1 一_m1 張_q1 卡片_物1,誰和我做了一張卡片?,姐姐,人1 + c1 + 人2 + v1 + y1 + m1 + q1 + 物1,誰 + c1 + 人1 + v1 + y1 + m1 + q1 + 物1,人2
185,我_人1 和_c1 姐姐_人2 做_v1 了_y1 一_m1 張_q1 卡片_物1,我和姊姊做了什麼?,卡片,人1 + c1 + 人2 + v1 + y1 + m1 + q1 + 物1,人1 + c1 + v1 + y1 + 什麼,物1
186,親愛_a1 的_u1 媽媽_人1 ：_w1 您_人2 教_v1 我們_人3 讀書_v2 ，_w2 教_v3 我們_人4 寫字_v4 ，_w3 我們_人5 非常_d1 感謝_v5 您_r1,誰教我們讀書?,媽媽,a1 + u1 + 人1 + w1 + 人2 + v1 + 人3 + v2 + w2 + v3 + 人4 + v4 + w3 + 人5 + d1 + v5 + r1,誰 + v1 + 人3 + v2,人1
187,兩_m1 根_q1 針_物1 ，_w1 有_vyou1 長短_物2,有幾根針?,長短,m1 + q1 + 物1 + w1 + vyou1 + 物2,q1 + 物1 + vyou1 + 什麼,物2
188,短_a1 針_物1 走_v1 得_u1 慢_a2,什麼走得慢?,針,a1 + 物1 + v1 + u1 + a2,什麼 + v1 + u1 + a2,物1
189,有_vyou1 一_m1 天_q1 ，_w1 小方問_人1 老師_物1 ：_w2 「_w3 古時候_t1 沒有_v1 時鐘_物2 ，_w4 他們_人2 怎麼_r1 知道_v2 時間_物3 呢_y1 ？_w5 」_w6,古時候沒有什麼?,老師,vyou1 + m1 + q1 + w1 + 人1 + 物1 + w2 + w3 + t1 + v1 + 物2 + w4 + 人2 + r1 + v2 + 物3 + y1 + w5 + w6,t1 + v1 + 什麼,物1
190,老師_人1 說_v1 ，_w1 古時候_時1 的_u1 人_物1 很_d1 聰明_a1,誰說古時候的人很聰明?,老師,人1 + v1 + w1 + 時1 + u1 + 物1 + d1 + a1,誰 + v1 + 時1 + u1 + 物1 + d1 + a1,人1
191,就_d1 把_p1 一_m1 根_q1 竹竿_物1 立_v1 在_p2 地上_物2,把什麼立在地上?,竹竿,d1 + p1 + m1 + q1 + 物1 + v1 + p2 + 物2,p1 + 什麼 + v1 + p2 + 物2,物1
192,陽光_人1 移動_v1 的_u1 時候_物1 ，_w1 竹竿_人2 的_u2 影子_人3 就_d1 會_v2 跟_p1 著_v3 移動_物2,陽光移動的時候什麼就會跟著移動?,移動,人1 + v1 + u1 + 物1 + w1 + 人2 + u2 + 人3 + d1 + v2 + p1 + v3 + 物2,人1 + v1 + u1 + 物1 + 什麼 + d1 + v2 + p1 + v3 + v1,物2
193,他們_人1 看到_v1 竹竿_物1 影子_物2 的_u1 長短_物3 ，_w1 就_d1 知道_v2 時間_物4 的_u2 早晚_t1 了_y1,他們看到什麼的長短就知道時間的早晚?,竹竿,人1 + v1 + 物1 + 物2 + u1 + 物3 + w1 + d1 + v2 + 物4 + u2 + t1 + y1,人1 + v1 + 什麼 + u1 + 物3 + d1 + v2 + 物4 + u1 + t1,物1
194,古人_人1 利用_v1 影子_物1 看_v2 時間_物2,古人利用什麼看時間?,影子,人1 + v1 + 物1 + v2 + 物2,人1 + v1 + 什麼 + v2 + 物2,物1
195,看到_v1 陰影_物1 移動_物2 ，_w1 就_d1 知道_v2 時間_物3 過去_v3 了_y1,看到什麼移動就知道時間過了?,陰影,v1 + 物1 + 物2 + w1 + d1 + v2 + 物3 + v3 + y1,v1 + 什麼 + 物2 + d1 + v2 + 物3 + y1,物1
196,所以_c1 時間_人1 也_d1 叫_v1 「_w1 光陰_物1 」_w2,時間也叫什麼?,光陰,c1 + 人1 + d1 + v1 + w1 + 物1 + w2,人1 + d1 + v1 + 什麼,物1
197,影子_人1 移動_v1 得_u1 很_d1 快_a1 ，_w1 大家_人2 一定_d2 要_v2 愛惜_v3 光陰_物1 ，_w2 努力_a2 學習_v4 。_w3,大家要愛惜什麼努力學習?,光陰,人1 + v1 + u1 + d1 + a1 + w1 + 人2 + d2 + v2 + v3 + 物1 + w2 + a2 + v4 + w3,人2 + v2 + v3 + 什麼 + a2 + v4,物1
198,鵝_人1 媽媽_物1 真_d1 漂亮_a1,誰真漂亮?,鵝,人1 + 物1 + d1 + a1,誰 + d1 + a1,人1
199,身上_s1 穿_v1 著_v2 白_a1 衣裳_物1,身上穿著什麼?,衣裳,s1 + v1 + v2 + a1 + 物1,s1 + v1 + v2 + 什麼,物1
200,游_v1 起_v2 水_物1 來_v3 身子_物2 挺_v4 得_u1 直_a1,游起水來什麼挺得直?,身子,v1 + v2 + 物1 + v3 + 物2 + v4 + u1 + a1,v1 + v2 + 物1 + v3 + 什麼 + v4 + u1 + a1,物2
201,走_v1 起_v2 路_物1 來_v3 脖子_物2 伸_v4 得_u1 長_a1,走起路來什麼伸得長?,脖子,v1 + v2 + 物1 + v3 + 物2 + v4 + u1 + a1,v1 + v2 + 物1 + v3 + 什麼 + v4 + u1 + a1,物2
202,外婆_人1 家_人2 種_v1 了_y1 很多_m1 橘子_物1 樹_v2,外婆家種了很多什麼?,橘子,人1 + 人2 + v1 + y1 + m1 + 物1 + v2,人1 + 人2 + v1 + y1 + m1 + 什麼,物1
203,小_a1 橘子_物1 先是_d1 綠色_物2 的_u1,橘子先是什麼顏色?,綠色,a1 + 物1 + d1 + 物2 + u1,物1 + d1 + 什麼,物2
204,外_f1 婆家_物1 還有_v1 一個_m1 茶園_物2,外婆家外有什麼?,茶園,f1 + 物1 + v1 + m1 + 物2,f1 + 物1 + f1 + 什麼,物2
205,我們_人1 把_p1 採_v1 下_v2 的_u1 茶葉_物1 放_v3 在_p2 院子_物2 裡_f1 晒_v4 乾_物3,把什麼放在院子曬乾?,茶葉,人1 + p1 + v1 + v2 + u1 + 物1 + v3 + p2 + 物2 + f1 + v4 + 物3,p1 + 什麼 + v3 + p2 + 物2 + 物3,物1
206,我們_人1 把_p1 採_v1 下_v2 的_u1 茶葉_物1 放_v3 在_p2 院子_物2 裡_f1 晒_v4 乾_物3,把茶葉放在院子裡做什麼?,乾,人1 + p1 + v1 + v2 + u1 + 物1 + v3 + p2 + 物2 + f1 + v4 + 物3,p1 + 物1 + v3 + p2 + 物2 + f1 + 什麼,物3
207,用_p1 晒乾_物1 的_u1 茶葉_物2 泡茶_v1,用什麼泡茶?,晒乾,p1 + 物1 + u1 + 物2 + v1,p1 + 什麼 + v1,物1
208,房_人1 裡_f1 就_d1 飄_v1 著_v2 茶葉_物1 的_u1 香味_物2,房裡飄著什麼的香味?,茶葉,人1 + f1 + d1 + v1 + v2 + 物1 + u1 + 物2,人1 + f1 + v1 + v2 + 什麼 + u1 + 物2,物1
209,小蟲_人1 寫信_v1 給_v2 螞蟻_物1,誰寫信給螞蟻?,小蟲,人1 + v1 + v2 + 物1,誰 + v1 + v2 + 物1,人1
210,螞蟻_人1 收到_v1 他_人2 的_u1 信_物1,誰收到他的信?,螞蟻,人1 + v1 + 人2 + u1 + 物1,誰 + v1 + 人2 + u1 + 物1,人1
211,螞蟻_人1 收到_v1 他_人2 的_u1 信_物1,螞蟻收到他的什麼?,信,人1 + v1 + 人2 + u1 + 物1,人1 + v1 + 人2 + u1 + 什麼,物1
212,老師_人1 在_p1 黑板_人2 上_f1 畫_v1 了_y1 一_m1 條_q1 直線_物1,誰在黑板畫了一條直線?,老師,人1 + p1 + 人2 + f1 + v1 + y1 + m1 + q1 + 物1,誰 + p1 + 人2 + v1 + y1 + m1 + q1 + 物1,人1
213,老師_人1 在_p1 黑板_人2 上_f1 畫_v1 了_y1 一_m1 條_q1 直線_物1,老師在黑板畫了什麼?,直線,人1 + p1 + 人2 + f1 + v1 + y1 + m1 + q1 + 物1,人1 + p1 + 人2 + v1 + y1 + 什麼,物1
214,小方_人1 先_d1 舉手_v1 說_v2 ：_w1 「_w2 老師_物1 ，_w3 這_人2 一_m1 條_q1 線_n1 可以_v3 變成_v4 一_m2 隻_q2 大_a1 手_物2,誰說這一條線可以變成大手?,小方,人1 + d1 + v1 + v2 + w1 + w2 + 物1 + w3 + 人2 + m1 + q1 + n1 + v3 + v4 + m2 + q2 + a1 + 物2,誰 + v2 + 人2 + m1 + q1 + n1 + v3 + v4 + a1 + 物2,人1
215,小方_人1 先_d1 舉手_v1 說_v2 ：_w1 「_w2 老師_物1 ，_w3 這_人2 一_m1 條_q1 線_n1 可以_v3 變成_v4 一_m2 隻_q2 大_a1 手_物2,小方說這一條線可以變成什麼?,老師,人1 + d1 + v1 + v2 + w1 + w2 + 物1 + w3 + 人2 + m1 + q1 + n1 + v3 + v4 + m2 + q2 + a1 + 物2,人1 + v2 + 人2 + m1 + q1 + n1 + v3 + v4 + 什麼,物1
