原文斷詞,原文出題
泰國還有一種被稱為「果后」的水果，叫山竹,泰國還有一種被稱為果后的什麼東西，叫山竹
我跟家人媽媽精心製作的水燈，到河邊放水燈。,誰跟家人提著媽媽精心製作的水燈，到河邊去放水燈?
他拿著一根大木棒準備去山上打老虎,有一天，誰拿著一根大木棒準備去山上打老虎?
可惜他還沒跑到大海，就累死在路上了,可惜誰還沒跑到大海，就累死在路上了
我們從車裡向外看，一路上看到廣闊的大海,誰從車裡向外看，一路上看到廣闊的大海
他想電報可以把文字輸送到很遠的地方去,誰想電報可以把文字輸送到很遠的地方去
我跟家人媽媽精心製作的水燈，到河邊放水燈。,我跟家人提著媽媽精心製作的什麼，到河邊去放水燈?
可愛的小朋友就伸出小手，拉住我們的手,可愛的小朋友就伸出小手，拉住我們的什麼
夸父丟在身旁的大木棒，變成了一片森林,夸父丟在身旁的什麼，變成了一片森林
喜歡它的人，說這是全世界最好吃的水果,喜歡它的人，說這是全世界最好吃的甚麼東西
這種美麗的景色，恐怕只有在海邊才能看到吧,這種美麗的什麼，恐怕只有在海邊才能看到吧
勤勞和我們做朋友，可以帶給我們成功的快樂,勤勞和我們做朋友，可以帶給我們什麼的快樂
勤勞和我們做朋友，可以帶給我們成功的快樂,勤勞和我們做朋友，可以帶給我們成功的什麼
於是先嘗到快樂的滋味，再體會痛苦和後悔,於是先嘗到快樂的滋味，再體會痛苦和什麼
李先生鼻子被那個人的頭重重的撞了一下,李先生的什麼被那個人的頭重重的撞了一下
李先生鼻子被那個人的頭重重的撞了一下,李先生的鼻子被那個人的什麼重重的撞了一下
他想電報可以把文字輸送到很遠的地方去,他想電報可以把什麼輸送到很遠的地方去
古代秦國的土地上有一條河，常常鬧水災,何時秦國的土地上有一條河，常常鬧水災
古代秦國的土地上有一條河，常常鬧水災,古代秦國的土地上有一條什麼，常常鬧水災
有了這兩條水道之後，就不再鬧水災了,有了這兩條什麼之後，就不再鬧水災了
但是裡面的果肉，會散發出一種特有的味道,但是裡面的什麼東西，會散發出一種特有的味道
今天一大早，爸爸帶著我，跟著旅行團乘車出發,什麼時候一大早，爸爸帶著我，跟著旅行團乘車出發
今天一大早，爸爸帶著我，跟著旅行團乘車出發,今天的什麼時候，爸爸帶著我，跟著旅行團乘車出發
李先生站起來，從口袋裡掏出一條手帕,李先生站起來，從口袋裡掏出一條什麼東西
他想電報可以把文字輸送到很遠的地方去,他想什麼東西可以把文字輸送到很遠的地方去
不但弄髒了自己的袖子，還濺了李先生一身,不但弄髒了誰的袖子，還濺了李先生一身
媽媽把蠟燭點燃之後，就把水燈慢慢的放進河裡,媽媽把蠟燭點燃之後，就把什麼慢慢的放進河裡?
大家看著水燈在河面上漂啊漂的，漸漸離我們遠去,大家看著什麼在河面上飄阿飄的，漸漸離我們遠去?
我們不只是幫父母親做事，給父母喝酒，吃肉,我們不只是幫父母做事，給父母喝酒，吃什麼?
格利佛等了很久，幸好有一條舊木船漂到島上,格利佛等了很久，幸好有一條什麼漂到島上?
當浪花打在大石頭上，立刻濺起好幾丈高的煙霧,當浪花打在什麼上，立刻濺起好幾仗高的煙霧
當浪花打在大石頭上，立刻濺起好幾丈高的煙霧,當浪花打在石頭上，立刻濺起好幾仗高的什麼
當浪花打在大石頭上，立刻濺起好幾丈高的煙霧,當什麼打在石頭上，立刻濺起好幾仗高的煙霧
勤勞和工人做朋友，工人就可以生產出精美的產品,勤勞和工人做朋友，工人就可以生產出精美的什麼
不但弄髒了自己的袖子，還濺了李先生一身,不但弄髒了自己的什麼，還濺了李先生一身
有沒有可能把聲音也送到很遠的地方呢,有沒有可能把什麼東西也送到很遠的地方呢
鄰居們覺得他的好脾氣真是稀奇，都對他佩服得不得了,誰覺得他的好脾氣真是稀奇，都對他佩服得不得了
叔叔笑著說：「如果我沒開車來接你們，你們就可以坐嘟嘟車來我家了。」,叔叔說如果我沒開車來接你們可以坐什麼車來我家?
媽媽把蠟燭點燃之後，就把水燈慢慢的放進河裡,媽媽把什麼點燃之後，就把水燈慢慢的放進河裡?
他們駕著自己所造的飛機，終於平穩的飛起來了,他們駕著自己所造的什麼，終於平穩的飛起來了?
有一天，他拿著一根大木棒準備去山上打老虎,有一天，他拿著一根什麼準備去山上打老虎?
不喜歡它的人，一聞到榴槤，就掩著鼻子離開,不喜歡它的人，一聞到榴槤，就掩著什麼離開
不喜歡它的人，一聞到榴槤，就掩著鼻子離開,不喜歡它的人，一聞到什麼東西，就掩著鼻子離開
鄰居們覺得他的好脾氣真是稀奇，都對他佩服得不得了,鄰居們覺得他的什麼東西真是稀奇，都對他佩服得不得了
回家的時候，我的腦海中浮現出他們渴望有家的樣子,回家的時候，誰的腦海中浮現出他們渴望有家的樣子
有一天，他拿著一根大木棒準備去山上打老虎,有一天，誰拿著一根大木棒準備去山上打老虎?
鄰居們覺得他的好脾氣真是稀奇，都對他佩服得不得了,鄰居們覺得誰的好脾氣真是稀奇，都對他佩服得不得了
鄰居們覺得他的好脾氣真是稀奇，都對他佩服得不得了,鄰居們覺得他的好脾氣真是稀奇，都對誰佩服得不得了
他在河中築起一道分水堤，把河分成兩個水道,誰在河中築起一道分水堤，把河分成兩個水道
這時屋裡跑來了一隻貓，鬍子起來，尾巴舉得高高的,這時屋裡跑來了一隻貓，什麼翹起來，尾巴舉得高高的?
他牽著一隻鱷魚，好像帶著一條狗出來散步一樣,他牽著一隻鱷魚，好像帶著一條什麼出來散步一樣?
小島三面都被海水圍繞，像是站在海中的巨人,小島三面都被什麼圍繞，像是站在海中的巨人
他在河中築起一道分水堤，把河分成兩個水道,他在河中築起一道分水堤，把什麼分成兩個水道
朵朵的浪花，像穿著白戰衣的勇士，排成一列齊頭並進,朵朵的什麼東西，像是穿著白戰衣的勇士，排成一列齊頭並進
他在河中築起一道分水堤，把河分成兩個水道,他在河中築起一道什麼東西，把河分成兩個水道
我想只要有決心，帶一個缽、一根木杖，就夠了。,誰想只要有決心，帶一個缽、一根木杖，就夠了
李冰先仔細察看這條河流的水道，再找出了鬧水災的原因,誰先仔細查看這條河流的水道，再找出了鬧水災的原因
他們只要把橡皮筋轉緊，手一放，竹飛機就飛上了天。,他們只要把橡皮筋轉緊，手一放，什麼就飛上了天?
他發現小人國裡一切都小，不但人小，連牛馬也很小。,他發現小人國一切都很小，不但人小，連什麼也小？
我看見一個頭上綁著紅布條，光著上身的大哥哥走出來,我看見一個頭上綁著什麼，光著上身的大哥哥走出來?
做人能實實在在，不說謊，不馬虎，他就可以受到別人的信任,做人能實實在在，不說謊，不馬虎，他就可以受到別人的什麼
只靠著一根短小的蒂，就把十幾斤的波羅蜜掛在樹上,只靠著一根短小的什麼，就把十幾斤的波蘿蜜掛在樹上
李冰先仔細察看這條河流的水道，再找出了鬧水災的原因,李冰先仔細查看這條河流的什麼，再找出了鬧水災的原因
我想只要有決心，帶一個缽、一根木杖，就夠了。,我想只要有什麼東西，帶一個缽、一根木杖，就夠了
他父親是教聾啞人說話的專家，所以貝爾從小就喜歡研究人類說話的聲音,誰是教聾啞人說話的專家，所以貝爾從小就喜歡研究人類說話的聲音
貝爾在另外一個房間研究電路，卻不小心打翻了桌上實驗用的藥水,誰在另外一個房間研究電路，卻不小心打翻了桌上實驗用的藥水
所以孝順父母，不只是給父母溫飽，還要有好的態度才是孝。,所以孝順父母，不只是給父母溫飽，還要有好的什麼才是孝?
他每年割樹皮取樹汁，把樹汁在木桶裡，運到大城市去賣。,他每年割什麼取樹汁，把樹汁裝在木桶裡，運到大城市去賣?
他每年割樹皮取樹汁，把樹汁在木桶裡，運到大城市去賣。,他每年割樹皮取什麼，把什麼裝在木桶裡，運到大城市去賣?
他每年割樹皮取樹汁，把樹汁在木桶裡，運到大城市去賣。,他每年割樹皮取樹汁，把樹汁裝在什麼裡，運到大城市去賣?
只靠著一根短小的蒂，就把十幾斤的波羅蜜掛在樹上,只靠著一根短小的蒂，就把十幾斤的什麼掛在樹上
貝爾在另外一個房間研究電路，卻不小心打翻了桌上實驗用的藥水,貝爾在另外一個房間研究什麼，卻不小心打翻了桌上實驗用的藥水
貝爾在另外一個房間研究電路，卻不小心打翻了桌上實驗用的藥水,貝爾在另外一個房間研究電路，卻不小心打翻了桌上實驗用的什麼
我們知道，過去的災難都隨著水燈消失了，美好的未來正在等著我們。,我們知道，過去的什麼都隨著水燈消失了，美好的未來正在等著我們?
他的四周有一群小小的人兒，一個個拿著弓箭，把箭頭對準了他,他的四周有一群小小的人兒，一個個拿著什麼，把箭頭對準了他?
他的四周有一群小小的人兒，一個個拿著弓箭，把箭頭對準了他,他的四周有一群小小的人兒，一個個拿著弓箭，把什麼對準了他?
在另一個房間剛要睡覺的華生，聽到桌子上的受話器傳來貝爾的聲音,在另一個房間剛要睡覺的華生，聽到桌子上的什麼傳來貝爾的聲音
在另一個房間剛要睡覺的華生，聽到桌子上的受話器傳來貝爾的聲音,在另一個房間剛要睡覺的華生，聽到桌子上的受話器傳來貝爾的什麼
朋友們以為他是要擦自己的衣服，沒想到他伸手去擦服務生的袖子,朋友們以為誰是要擦自己的衣服，沒想到他伸手去擦服務生的袖子
朋友們以為他是要擦自己的衣服，沒想到他伸手去擦服務生的袖子,朋友們以為他是要擦自己的衣服，沒想到他伸手去擦誰的袖子
朋友們以為他是要擦自己的衣服，沒想到他伸手去擦服務生的袖子,朋友們以為他是要擦自己的衣服，沒想到他伸手去擦服務生的什麼
我們知道，過去的災難都隨著水燈消失了，美好的未來正在等著我們。,我們知道，過去的災難都隨著什麼消失了，美好的未來正在等著我們?
大城市裡的商人都知道他賣的漆最純了，所以都樂意向他買。,大城市的商人都知道他賣的什麼最純了，所以都樂意向他買?
隱士長長的嘆了一口氣，伸出手指頭向老虎一指，又把大老虎變成了原來的那隻小老鼠。,隱士長長的嘆了一口氣，伸出手指頭向老虎一隻，又把大老虎變了誰?
只要把漆樹的葉子煮成膏，加到生漆裡，就可以讓漆汁變得更多,只要把什麼的葉子煮成膏加到生漆裡，就可以讓漆汁變得更多?
山下的水道很窄，容不下那麼多的水，於是就淹沒了兩岸的土地,山下的水道很窄，容不下那麼多的什麼，於是就淹沒了兩岸的土地
山下的水道很窄，容不下那麼多的水，於是就淹沒了兩岸的土地,山下的水道很窄，容不下那麼多的水，於是就淹沒了兩岸的什麼
只要把漆樹的葉子煮成膏，加到生漆裡，就可以讓漆汁變得更多,只要把漆樹的什麼煮成膏加到生漆裡，就可以讓漆汁變得更多?
只要把漆樹的葉子煮成膏，加到生漆裡，就可以讓漆汁變得更多,只要把漆樹的葉子煮成膏加到什麼裡，就可以讓漆汁變得更多?
只要把漆樹的葉子煮成膏，加到生漆裡，就可以讓漆汁變得更多,只要把漆樹的葉子煮成膏加到生漆裡，就可以讓什麼變得更多?
我站在高台，耳邊聽到的是呼呼的風聲，眼前看到的是海闊天空的景象,我站在高台，耳邊聽到的是呼呼的什麼，眼前看到的是海闊天空的景象
那一天，正是西元一八七六年三月十日，也就是人類有了第一架電話機的日子。,那一天，正是西元一八七六年的三月十日，也就是人類有了第一架什麼東西的日子
山的另一邊白雲湧起，像一堆堆的白雪，又像成群的綿羊，更像朵朵的浪花,山的另一邊什麼湧起，像一堆堆的白雪，又想成群的綿羊，更像朵朵的浪花
山的另一邊白雲湧起，像一堆堆的白雪，又像成群的綿羊，更像朵朵的浪花,山的另一邊白雲湧起，像一堆堆的什麼，又想成群的綿羊，更像朵朵的浪花
山的另一邊白雲湧起，像一堆堆的白雪，又像成群的綿羊，更像朵朵的浪花,山的另一邊白雲湧起，像一堆堆的白雪，又想成群的什麼，更像朵朵的浪花
山的另一邊白雲湧起，像一堆堆的白雪，又像成群的綿羊，更像朵朵的浪花,山的另一邊白雲湧起，像一堆堆的白雪，又想成群的綿羊，更像朵朵的什麼
他想電報可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢？,誰想電報可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢
他想電報可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢？,他想電報可以把什麼輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢
他想電報可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢？,他想什麼東西可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢
他想電報可以把文字輸送到很遠的地方去，有沒有可能把聲音也送到很遠的地方呢？,他想電報可以把文字輸送到很遠的地方去，有沒有可能把什麼東西也送到很遠的地方呢
