冊/課,課文,題目,long
B3 L1,我_人 希望_v 能_v 和_c 同學_人 一起_m 讀書_v ，_x 一起_m 遊戲_v,希望能和同學一起做什麼?,
B3 L1,我_人 希望_v 能_v 和_c 同學_人 一起_m 讀書_v ，_x 一起_m 遊戲_v,希望能和誰一起讀書?,
B3 L2,勤勞_a 的_uj 太陽_人 ，_x 天天_時 忙著_v 做_v 事_事,太陽天天忙著做什麼事?,
B3 L2,春天_時 太陽_人 照_v 在_p 花兒_物 上_f ，_x 花兒_物 開_v 得_ud 更_d 美麗_a,什麼時候太陽照在花兒上?,
B3 L2,春天_時 太陽_人 照_v 在_p 花兒_物 上_f ，_x 花兒_物 開_v 得_ud 更_d 美麗_a,花兒開得更如何?,
B3 L2,夏天_時 太陽_人 照_v 在_p 稻子_物 上_f ，_x 稻子_物 長_a 得_ud 更_d 高大_a,什麼時候太陽照在稻子上?,
B3 L2,夏天_時 太陽_人 照_v 在_p 稻子_物 上_f ，_x 稻子_物 長_a 得_ud 更_d 高大_a,稻子長得更如何?,
B3 L2,秋天_時 太陽_人 照_v 在_p 果樹_物 上_f ，_x 果子_物 熟_a 得_ud 更_d 快_a 了_ul,什麼時候太陽照在果樹上?,
B3 L2,秋天_時 太陽_人 照_v 在_p 果樹_物 上_f ，_x 果子_物 熟_a 得_ud 更_d 快_a 了_ul,什麼東西熟得更快了?,
B3 L2,冬天_時 的_uj 太陽_人 ，_x 照_v 在_p 小_a 花貓_物 的_uj 身上_地,什麼時候太陽照在花貓上?,
B3 L2,小_a 花貓_人 睡_v 得_ud 更_d 香甜_a 了_ul,誰睡得更香甜了?,
B3 L3,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 山上_地 工作_vn,誰帶我去山上工作?,
B3 L3,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 山上_地 工作_vn,爸爸帶誰去山上工作?,
B3 L3,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 山上_地 工作_vn,爸爸帶我去哪裡工作?,
B3 L3,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 山上_地 工作_vn,爸爸帶我去山上做什麼?,
B3 L3,爸爸_人 對_p 我_人 說_v ：_x 「_x 你_人 可以_c 帶_v 彩色筆_物 去_v 山上_地 畫_v 畫_n 。_x 」_x ,可以帶什麼去山上畫畫,
B3 L3,爸爸_人 對_p 我_人 說_v ：_x 「_x 你_人 可以_c 帶_v 彩色筆_物 去_v 山上_地 畫_v 畫_n 。_x 」_x ,可以帶彩色筆去山上做什麼?,
B3 L3,我_人 站_v 在_p 山上_地 ，_x 看到_v 高高低低_z 的_uj 山_物 ,我站在哪裡看到高高低低的山?,
B3 L3,有時_時 白雲_n 飄過來_v ，_x 有_v 一半_m 的_uj 山_物 在_p 雲_物 的_uj 上面_f,有一半的山在什麼的上面?,
B3 L3,我_人 從_p 山上_地 向下_v 看_v,我站在哪裡向下看?,
B3 L3,山下_地 的_uj 河流_物 變小_v 了_ul,山下的什麼變小了?,
B3 L3,房屋_物 也_d 變_v 小_a 了_ul,什麼也變小了?,
B3 L3,我_人 畫_v 了_ul 一張_m 畫_物,我畫了一張什麼?,
B3 L3,畫_物 裡_f 有_v 山_物 ，_x 有_v 河_物 ，_x 還_d 有_v 房子_物,畫裡面有什麼?,
B3 L3,我_人 把_p 大自然_物 畫_v 在_p 紙_物 上_f 了_ul ,我把什麼畫在紙上了?,
B3 L4(一),小鵝_人 跟_p 在_p 後頭_s 走_v ,誰跟在後頭走?,
B3 L4(一),野草地_地 　_x 小花_物 多_m,草地上什麼多?,
B3 L4(一),小鵝_人 看_v 花_物 不想_v 走_v,小鵝看什麼不想走?,
B3 L4(一),鵝媽媽_人 　_x 輕輕_d 說_v 別_d 看_v 花_物 　_x 向前走_v,誰說別看花向前走?,
B3 L4(一),小河_物 彎彎_v 在_p 前頭_f,什麼在前頭?,
B3 L4(一),戲弄_v 綠波_n 真_d 快樂_a,戲弄什麼真快樂?,
B3 L4(二),我_人 有_v 一個_m 洋娃娃_物,我有一個什麼?,
B3 L4(二),我_人 有_v 一個_m 洋娃娃_物,誰有一個洋娃娃?,
B3 L4(二),腿兒_物 長長_a 　,什麼長?,
B3 L4(二),眼睛_物 大_a,什麼大?,
B3 L4(二),好像_v 我_人 的_uj 小妹妹_人 ,好像我的什麼?,
B3 L4(二),我_人 哭_v 了_ul 　_x 她_人 也_d 哭_v ,我哭的時候她也如何?,
B3 L4(二),開心_v 時候_t 哈哈笑_v 她_人 也_d 跟_p 我_人 笑哈哈_v ,開心的時候她跟我如何?,
B3 L5,有_v 一隻_m 小_a 蜘蛛_人 ，_x 在_p 樹上_地 結_v 了_ul 一面_m 網_物,誰在樹上結網?,
B3 L5,有_v 一隻_m 小_a 蜘蛛_人 ，_x 在_p 樹上_地 結_v 了_ul 一面_m 網_物,蜘蛛在哪裡結網?,
B3 L5,有_v 一隻_m 小_a 蜘蛛_人 ，_x 在_p 樹上_地 結_v 了_ul 一面_m 網_物,蜘蛛在樹上做什麼?,
B3 L5,清早_時 蜘蛛網_物 上_s 有_v 許多_m 水珠_物 ,什麼時候蜘蛛網上有許多水珠?,
B3 L5,清早_時 蜘蛛網_物 上_s 有_v 許多_m 水珠_物 ,哪裡有許多水珠?,
B3 L5,清早_時 蜘蛛網_物 上_s 有_v 許多_m 水珠_物 ,清晨蜘蛛網上有很多什麼?,
B3 L5,每_r 一顆_m 水珠_物 都_d 像_v 珍珠_物 一樣_m 閃閃_z 發光_v,水珠像什麼一樣閃閃發光?,
B3 L5,有_v 一隻_m 蚊子_人 飛來_v 飛去_v ，_x 一不小心_l 飛到_v 蜘蛛網_物 上_f,誰飛到蜘蛛網上?,
B3 L5,蜘蛛網_物 抓住_v 了_ul 蚊子_人 的_uj 腳_物,蜘蛛網抓住了蚊子的哪裡?,
B3 L5,蜘蛛網_物 抓住_v 了_ul 蚊子_人 的_uj 腳_物,什麼抓住了蚊子?,
B3 L5,蚊子_人 一動_v 也_d 不動_v ，_x 停_v 在_p 蜘蛛網_物 上_f,蚊子停在哪裡?,
B3 L5,有_v 一隻_m 小蜜蜂_物 ，_x 飛到_v 蜘蛛網_物 前_s ,小蜜蜂飛到哪裡?,
B3 L5,有_v 一隻_m 小蜜蜂_物 ，_x 飛到_v 蜘蛛網_物 前_s ,誰飛到蜘蛛網前?,
B3 L5,看見_v 蚊子_人 被_p 抓住_v ，_x 趕忙_d 飛走_v 了_ul,看見誰被抓住趕忙飛走?,
B3 L6,一隻_m 青蛙_人 住_v 在_p 一口_m 又_d 深_a 又_d 黑_a 的_uj 井裡_地,青蛙住在哪裡?,
B3 L6,一隻_m 青蛙_人 住_v 在_p 一口_m 又_d 深_a 又_d 黑_a 的_uj 井裡_地,誰住在井裡?,
B3 L6,青蛙_人 在_p 井裡_地 每天_r 抬起_v 頭_物 來_v ,誰在井裡抬起頭來?,
B3 L6,看到_v 的_uj 只是_c 一個_m 圓圓_z 的_uj 小_a 天空_地,看到的只是一個什麼?,
B3 L6,有_v 一天_m ，_x 一隻_m 小_a 鳥_人 停_v 在_p 井口_地 ,一隻小鳥停在哪裡?,
B3 L6,有_v 一天_m ，_x 一隻_m 小_a 鳥_人 停_v 在_p 井口_地 ,誰停在井口?,
B3 L6,小鳥_人 喘著_v 氣_n 說_v ：_x 「_x 我_人 飛_v 了_ul 好久_m ，_x 好_a 累_a 喔_o ！_x 」_x,誰飛了好久好累?,
B3 L6,小_a 鳥_人 看_v 了_ul 看_v 井裡_地 的_uj 青蛙_人 說_zg ：_x 「_x 你_人 住_v 在_p 井裡_地 ，_x 沒有_v 看見_v 外面_f 的_uj 世界_n ,誰住在井裡沒有看見外面的世界?,
B3 L6,你_人 知道_v 外面_f 的_uj 世界_n 有_v 多_m 美麗_a 嗎_y ？_x 你_人 應該_v 跳出_v 來_zg ，_x 看一看_v 外面_f 的_uj 世界_n ,為什麼應該跳出來看一看外面的世界?,
B3 L7,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 上學_v,爸爸帶誰去上學?,
B3 L7,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 上學_v,誰帶我去上學?,
B3 L7,有_v 一天_m ，_x 爸爸_人 帶_v 我_人 去_v 上學_v,爸爸帶我去哪裡?,
B3 L7,我_人 看到_v 路_地 的_uj 兩旁_f 插滿_v 了_ul 國旗_物 ,我看到路兩旁插滿了什麼?,
B3 L7,我_人 看到_v 路_地 的_uj 兩旁_f 插滿_v 了_ul 國旗_物 ,誰看到路兩旁插滿了國旗?,
B3 L7,當然_d 知道_v ，_x 這_r 是_v 泰國_地 的_uj 國旗_物,這是哪裡的國旗?,
B3 L7,我們_人 的_uj 國旗_物 有_v 三種_m 顏色_n,國旗有幾種顏色?,
B3 L7,藍色_n 是_v 指_v 國王_人,藍色指什麼?,
B3 L7,藍色_n 是_v 指_v 國王_人,什麼顏色指國王?,
B3 L7,白色_n 是_v 指_v 宗教_n,白色指什麼?,
B3 L7,白色_n 是_v 指_v 宗教_n,什麼顏色指宗教?,
B3 L7,紅色_n 是_v 指_v 國家_n 和_c 人民_人,紅色指什麼?,
B3 L7,我_人 對_p 爸爸_人 說_zg ：_x 「_x 我_人 覺得_v 泰國_地 的_uj 國旗_物 ，_x 是_v 最_d 漂亮_a 的_uj 國旗_物 。_x 」_x,我覺得最漂亮的是哪國國旗?,
B3 L8,母親節_n 快_v 到_v 了_ul,什麼節日快到了?,
B3 L8,我_人 和_c 姐姐_人 想送_v 給_p 媽媽_人 一樣_u 禮物_物,我和誰送給媽媽一樣禮物?,
B3 L8,我_人 和_c 姐姐_人 想送_v 給_p 媽媽_人 一樣_u 禮物_物,誰和姊姊送給媽媽一樣禮物?,
B3 L8,我_人 和_c 姐姐_人 想送_v 給_p 媽媽_人 一樣_u 禮物_物,我和姊姊送給誰一樣禮物?,
B3 L8,但是_c 我們_人 不_d 知道_v 要_v 送_v 什麼_r 禮物_物 給_p 媽媽_人,我們不知道送什麼禮物給誰?,
B3 L8,我_人 和_c 姐姐_人 做_v 了_ul 一張_m 卡片_物,我和誰做了一張卡片?,
B3 L8,我_人 和_c 姐姐_人 做_v 了_ul 一張_m 卡片_物,誰和我做了一張卡片?,
B3 L8,我_人 和_c 姐姐_人 做_v 了_ul 一張_m 卡片_物,我和姊姊做了什麼?,
B3 L8,親愛_a 的_uj  媽媽_人 ：_x 您_人 教_v 我們_人 讀書_事 ，_x 教_v 我們_人 寫_v 字_物 ，_x 我們_人 非常_d 感謝_v 您_人,誰教我們讀書?,
B3 L8,親愛_a 的_uj  媽媽_人 ：_x 您_人 教_v 我們_人 讀書_事 ，_x 教_v 我們_人 寫_v 字_物 ，_x 我們_人 非常_d 感謝_v 您_人,媽媽教了我們什麼?,
B3 L9,時鐘_物 走_v 不停_d ，_x 日夜_時 不_d 休息_v,什麼東西走不停?,
B3 L9,兩根_m 針_物 ，_x 有_v 長_a 短_a ,有幾根針?,
B3 L9,長針_物 走得_v 快_a,什麼走得快?,
B3 L9,短針_物 走得_v 慢_a,什麼走得慢?,
B3 L9,時間_時 一_m 過去_t ，_x 再也_d 不_d 回頭_v,什麼再也不回頭?,
B3 L9,我們_人 要_v 努力_ad ，_x 一分一秒_m 要_v 愛惜_v,我們要如何?,
B3 L10,有_v 一天_m ，_x 小方_人 問_v 老師_人 ：_x 「_x 古_a 時候_時 沒有_v 時鐘_物 ，_x 他們_人 怎麼_r 知道_v 時間_時 呢_y ？_x 」,古時候沒有什麼?,
B3 L10,老師_人 說_v ，_x 古_a 時候_時 的_uj 人_人 很_d 聰明_a,誰說古時候的人很聰明?,
B3 L10,他們_人 想_v 知道_v 時間_時 ，_x 就_d 把_p 一根_m 竹竿_物 立_v 在_p 地上_地,為什麼把竹竿立在地上?,
B3 L10,就_d 把_p 一根_m 竹竿_物 立_v 在_p 地上_地,把竹竿立在哪裡?,
B3 L10,就_d 把_p 一根_m 竹竿_物 立_v 在_p 地上_地,把什麼立在地上?,
B3 L10,陽光_物 移動_vn 的_uj 時候_時 ，_x 竹竿_物 的_uj 影子_物 就_d 會_v 跟著_v 移動_vn,陽光移動的時候什麼就會跟著移動?,
B3 L10,他們_人 看到_v 竹竿_物 影子_物 的_uj 長_a 短_a ，_x 就_d 知道_v 時間_時 的_uj 早晚_時 了_ul,他們看到什麼的長短就知道時間的早晚?,
B3 L10,古人_人 利用_n 影子_物 看_v 時間_時,古人利用什麼看時間?,
B3 L10,看到_v 陰影_物 移動_vn ，_x 就_d 知道_v 時間_時 過去_v 了_ul,看到什麼移動就知道時間過了?,
B3 L10,所以_c 時間_時 也_d 叫_v 「_x 光陰_n 」_x,時間也叫什麼?,
B3 L10,影子_物 移動_vn 得_ud 很快_d ，_x 大家_人 一定_d 要_v 愛惜_v 光陰_時 ，_x 努力_ad 學習_v 。_x,大家要愛惜什麼努力學習?,
B3 L11,鵝_n 媽媽_人 真_d 漂亮_a,誰真漂亮?,
B3 L11,頭上_地 戴_v 著_v 黃_a 帽子_物,頭上戴著什麼?,
B3 L11,身上_地 穿著_v 白_a 衣裳_物,身上穿著什麼?,
B3 L11,游起_v 水_n 來_v 身子_物 挺_d 得_ud 直_d,游起水來什麼挺得直?,
B3 L11,走起路來_l 脖子_物 伸_v 得_ud 長_a,走起路來什麼伸得長?,
B3 L11,不_d 急_v ，_x 不_d 急_v ，_x 等_u 你_人 長_v 大_a 了_ul ，_x 就_d 會_v 像_v 我_人 一樣_u 漂亮_a 。,什麼時候會像我一樣漂亮?,
B3 L12,外婆家_地 種_v 了_ul 很多_m 橘子_物 樹_物,哪裡種了很多橘子?,
B3 L12,外婆家_地 種_v 了_ul 很多_m 橘子_物 樹_物,外婆家種了很多什麼?,
B3 L12,小_a 橘子_物 先是_d 綠色_a 的_uj ,橘子先是什麼顏色?,
B3 L12,綠色_a 的_uj 小_n 橘子_物 在_p 綠色_a 的_uj 葉子_物 保護_v 下_f 慢慢_d 長大_v 。,小橘子在哪裡保護下長大?,
B3 L12,過_ug 了_ul 幾個_m 月_n ，_x 橘子_物 就_d 會_v 變_v 黃_a,過了幾個月橘子就會變如何?,
B3 L12,等_u 橘子_物 黃_a 了_ul ，_x 就_d 可以_c 吃_v 了_ul,橘子變黃就可以如何?,
B3 L12,外婆家_地 還_d 有_v 一個_m 茶園_地,哪裡有一個茶園?,
B3 L12,外婆家_地 還_d 有_v 一個_m 茶園_地,外婆家外有什麼?,
B3 L12,我們_人 把_p 採下_v 的_uj 茶葉_物 放在_v 院子_地 裡_f 晒_v 乾_j,把什麼放在院子曬乾?,
B3 L12,我們_人 把_p 採下_v 的_uj 茶葉_物 放在_v 院子_地 裡_f 晒_v 乾_j,把茶葉放在哪裡曬乾?,
B3 L12,我們_人 把_p 採下_v 的_uj 茶葉_物 放在_v 院子_地 裡_f 晒_v 乾_j,把茶葉放在院子裡做什麼?,
B3 L12,用_p 晒_v 乾_j 的_uj 茶葉_物 泡茶_v,用什麼泡茶?,
B3 L12,房裡_地 就_d 飄著_v 茶葉_物 的_uj 香味_n,房裡飄著什麼的香味?,
B3 L12,房裡_地 就_d 飄著_v 茶葉_物 的_uj 香味_n,哪裡飄著茶葉的香味?,
B3 L12,我_人 喜歡_v 去_v 外婆家_地 ,我喜歡去哪裡?,
B3 L13,小蟲_人 寫信_v 給_p 螞蟻_人,誰寫信給螞蟻?,
B3 L13,小蟲_人 寫信_v 給_p 螞蟻_人,小蟲寫信給誰?,
B3 L13,他_人 在_p 葉子_物 上_f ，_x 咬_v 了_ul 三個_m 洞_物,他在哪裡咬了三個洞?,
B3 L13,螞蟻_人 收到_v 他_人 的_uj 信_物,誰收到他的信?,
B3 L13,螞蟻_人 收到_v 他_人 的_uj 信_物,螞蟻收到他的什麼?,
B3 L13,也_d 在_p 葉子_物 上_f ，_x 咬_v 了_ul 三個_m 洞_物,也在哪裡咬了三個洞?,
B3 L13,表示_v 「_x 看不懂_v 」_x,表示什麼?,
B3 L13,螞蟻_人 不_d 知道_v 小蟲_人 的_uj 想念_v,螞蟻不知道誰的思念?,
B3 L14,上課_v 的_uj 時候_時 ,什麼時候?,
B3 L14,老師_人 在_p 黑板_物 上_f 畫_v 了_ul 一條_m 直線_物,誰在黑板畫了一條直線?,
B3 L14,老師_人 在_p 黑板_物 上_f 畫_v 了_ul 一條_m 直線_物,老師在哪裡畫了一條直線?,
B3 L14,老師_人 在_p 黑板_物 上_f 畫_v 了_ul 一條_m 直線_物,老師在黑板畫了什麼?,
B3 L14,小方_人 先_d 舉手_v 說_v ：_x 「_x 老師_人 ，_x 這_r 一條_m 線_物 可以_c 變成_v 一隻_m 大_a 手_物,誰說這一條線可以變成大手?,
B3 L14,小方_人 先_d 舉手_v 說_v ：_x 「_x 老師_人 ，_x 這_r 一條_m 線_物 可以_c 變成_v 一隻_m 大_a 手_物,小方說這一條線可以變成什麼?,
B3 L14,把_p 天上_地 的_uj 仙桃_物 摘下_v 來_zg ！,把哪裡的仙桃摘下來?,
B3 L14,把_p 天上_地 的_uj 仙桃_物 摘下_v 來_zg ！,把天上的什麼摘下來?,
B3 L14,小亮_人 接著_v 說_v ：_x 「_x 我_人 想_v 這_r 一條_m 線_物 可以_c 變成_v 一座_m 城堡_物,誰說這一條線可以變成城堡?,
B3 L14,小亮_人 接著_v 說_v ：_x 「_x 我_人 想_v 這_r 一條_m 線_物 可以_c 變成_v 一座_m 城堡_物,小亮說這一條線可以變成什麼?,
B3 L14,裡面_f 有_v 大_a 巨人_人 ，_x 也_d 有_v 小_a 矮_a 人_人,裡面有什麼?,
B3 L14,他們_r 一起_m 玩_v 遊戲_n,他們一起做什麼?,
B3 L14,最後_d 小美_人 說_v ：_x 「_x 我_人 想_v 把_p 這_r 一條_m 線_物 變成_v 一條_m 小河_物,小美說這一條線可以變成什麼?,
B3 L14,最後_d 小美_人 說_v ：_x 「_x 我_人 想_v 把_p 這_r 一條_m 線_物 變成_v 一條_m 小河_物,誰說這一條線可以變成小河?,
B3 L14,讓_x 大家_人 聽到_v 小河_物 快樂_a 的_uj 歌聲_n,讓大家聽到誰的快樂歌聲?,
B3 L15,星期日_時 早上_時,什麼時候早上?,
B3 L15,媽媽_人 帶_v 我_人 和_c 妹妹_人 去_v 拜拜_v,媽媽帶誰去拜拜?,
B3 L15,媽媽_人 帶_v 我_人 和_c 妹妹_人 去_v 拜拜_v,誰帶我去拜拜?,
B3 L15,媽媽_人 帶_v 我_人 和_c 妹妹_人 去_v 拜拜_v,媽媽帶我和誰去拜拜?,
B3 L15,媽媽_人 帶_v 我_人 和_c 妹妹_人 去_v 拜拜_v,誰帶我和妹妹去拜拜?,
B3 L15,媽媽_人 帶_v 我_人 和_c 妹妹_人 去_v 拜拜_v,媽媽帶我和妹妹去做什麼?,
B3 L15,媽媽_人 說_v ：_x 「_x 拜拜_v 時_zg ，_x 衣服_物 要_v 穿_v 整齊_d 。_x 」,拜拜時衣服要如何?,
B3 L15,到_v 了_ul 佛寺_地 ,到了哪裡?,
B3 L15,我_人 看見_v 來_v 拜拜_v 的_uj 人_人 都_d 穿_v 得_ud 整整齊齊_l,我看見拜拜的人都穿得如何?,
B3 L15,沒有_v 人_人 穿_v 短_a 褲_物,沒有人穿什麼?,
B3 L15,也_d 沒有_v 人_人 穿_v 拖鞋_物,也沒有人穿什麼?,
B3 L15,進_v 佛寺_地 裡_f 要_v 脫_v 鞋子_物,進哪裡要脫鞋子?,
B3 L15,進_v 佛寺_地 裡_f 要_v 脫_v 鞋子_物,進佛寺要脫什麼?,
B3 L15,大家_人 光著_v 腳_物 走_v 進去_v,大家光著什麼走進去?,
B3 L15,再_d 合掌_v 拜拜_v,再如何拜拜?,
B3 L15,我_人 看到_v 佛祖_人 全身_n 金光_n 閃閃_z,我看見誰金光閃閃?,
B3 L15,一臉_m 和氣_n 的_uj 樣子,一臉如何?,
B3 L15,使_v 我_人 很_d 感動_v,使我如何?,
B3 L15,我_人 跟著_v 大家_人 雙手_n 合掌_v,我跟著大家做什麼?,
B3 L15,希望_v 佛祖_人 保護_v 大家_人,希望誰保護大家?,
B3 L15,讓_x 大家_人 平安_a 、_x 快樂_a,讓大家如何?,
B7 L1,大自然_人1 會_v1 說話_v2,誰會說話?,
B7 L1,當_p 你_人1 看到_v1 天空_物1 潔淨_z,當你看到天空如何?,
B7 L1,今天_時間 是_v4 晴天_n,今天是什麼天?,
B7 L1,今天_時間 是_v4 晴天_n,哪天是晴天?,
B7 L1,你_人4 可以_c 計畫_v5 去_v6 旅遊_事 ,你可以計畫去?,
B7 L1,如果_c 天空_物1 陰_zg 沉沉的_z,如天空如何?,
B7 L1,烏雲_物2 一_m 片片_m 的_uj 聚在一起_i,什麼一片片聚在一起?,
B7 L1,要_v2 下雨_事 了_ul ，_x 出門_v3 別_d 忘_事 了_ul 帶_v4 把_p 傘_物 ,為什麼出門別忘了帶把傘?,
B7 L1,要_v2 下雨_事 了_ul ，_x 出門_v3 別_d 忘_事 了_ul 帶_v4 把_p 傘_物 ,要下雨了出門別忘記什麼?,
B7 L1,當_zg 地上_s 的_uj 螞蟻_人1 急急忙忙_z 的_uj 搬家_事,地上的螞蟻急急忙忙在做什麼?,
B7 L1,當_zg 地上_s 的_uj 螞蟻_人1 急急忙忙_z 的_uj 搬家_事,誰急急忙忙的搬家?,
B7 L1,從_zg 地上_地方 搬到_v1 樹上_地方,從哪裡搬到哪裡?,
B7 L1, 它_人2 是_v2 換_v3 一個_m 方式_n 告訴_v4 你_人 ：_x 「_x 快要_d 下雨_事 了_ul。_x 」,它換方式告訴你快要什麼事?,
B7 L1,你_人3 看到_v5 樹枝_物1 長出_v6 紅色_a 或_c 綠色_a 的_uj 新芽_物2,樹枝長出什麼色的新芽?,
B7 L1,或是_c 池塘_地方 裡_f 的_uj 青蛙_人4,池塘裡的什麼?,
B7 L1,它們_人5 就_d 告訴_v8 你_人6 ：_x 「_x 春天_時間 來_v9 了_ul ！_x 」_x,什麼天來了?,
B7 L1,一圈圈_m 的_uj 年輪_物1 ，_x 告訴_v1 你_人1 樹_物2 有_v2 多少_m 年紀_t 了_ul,一圈圈的年輪告訴你什麼?,
B7 L1,葉子_物1 從_p 樹上_地方 飄_v1 下來_v2 ,葉子從哪裡飄下來?,
B7 L1,秋天_時間 來_v 了_ul ,什麼天來了?,
B7 L1,天氣_n 轉涼_事 了_ul ，_x 要_v5 記得_v6 多_m 穿_v7 幾件_m 衣服_物2,為什麼要記得多穿幾件衣服?,
B7 L1,天氣_n 轉涼_事 了_ul ，_x 要_v5 記得_v6 多_m 穿_v7 幾件_m 衣服_物2,天氣轉涼要記得如何?,
B7 L1,大自然_d 的_uj 語言_n 處處_地方 都_d 看_v1 得_ud 見_v2,大自然的語言在哪裡看的見?,
B7 L1,喜歡_v 學習_v4 的_uj 人_人1 ，_x 認真_ad 觀察_事 的_uj 人_人2 ，_x 隨時_d 可以_c 從_zg 大自然_d 的_uj 變化_vn 中_f ，_x 學到_v5 知識_事,喜歡什麼的人隨時可以從大自然變化學到知識?,
B7 L1,喜歡_v 學習_v4 的_uj 人_人1 ，_x 認真_ad 觀察_事 的_uj 人_人2 ，_x 隨時_d 可以_c 從_zg 大自然_d 的_uj 變化_vn 中_f ，_x 學到_v5 知識_事,喜歡學習與認真觀察的人可以從哪裡學到知識?,
B7 L2,清明節_nz 早上_時間,什麼節日早上?,
B7 L2,天上_地方 飄著_v1 小雨_物1,天上飄著什麼?,
B7 L2,我們_人1 一家人_人2 和_c 姑姑_人3 、_x 小叔叔_人4 的_uj 家人_人5 ，_x 一起_m 去_v2 掃墓_v3,一家人一起去哪裡?,
B7 L2,到_v 了_ul 墓園_地方,到了哪裡?,
B7 L2,媽媽_人1 和_c 姑姑_人2 趕忙_v2 拿出_v3 鮮花_物1 、_x 水果_物2 等_u 祭品_物3,媽媽和姑姑拿出什麼祭品?,
B7 L2,媽媽_人1 和_c 姑姑_人2 趕忙_v2 拿出_v3 鮮花_物1 、_x 水果_物2 等_u 祭品_物3,誰拿出來鮮花和水果?,
B7 L2,爸爸_人1 和_c 小叔叔_人2 拿著_v1 剪刀_物2 修剪_v2 花木_物2 ,爸爸和叔叔拿著什麼修剪花木?,
B7 L2,爸爸_人1 和_c 小叔叔_人2 拿著_v1 剪刀_物2 修剪_v2 花木_物2 ,拿著剪刀要做什麼?,
B7 L2,爸爸_人1 和_c 小叔叔_人2 拿著_v1 剪刀_物2 修剪_v2 花木_物2 ,誰修剪花木?,
B7 L2,我_人3 和_c 表姐_人4 跟_p 在_p 一旁_s 撿_v3 樹枝_物3 、_x 掃_v4 落葉_物4 ,我和表姊在一旁做什麼?,
B7 L2,我_人3 和_c 表姐_人4 跟_p 在_p 一旁_s 撿_v3 樹枝_物3 、_x 掃_v4 落葉_物4 ,誰撿樹枝、掃落葉?,
B7 L2,只有_c 小堂弟_人1 最_d 頑皮_a,誰最頑皮?,
B7 L2,一邊_d 拔草_v1 ，_x 一邊_d 玩_v2 泥土_物1,一邊拔草一邊玩什麼?,
B7 L2,最後_d 抹_v3 了_ul 一_m 臉_n 的_uj 泥_物2,抹了一臉的什麼?,
B7 L2,讓_v4 嬸嬸_人2 看_v5 了_ul 又_d 好_a 笑_v ，_x 又_d 好_a 氣_v,嬸嬸看了如何?,
B7 L2,我們_人1 把_p 墓園_地方 打掃_v1 乾淨_a,我們把哪裡打掃乾淨?,
B7 L2,爸爸_人2 舉起_v3 香_物2,誰舉起香?,
B7 L2,接著_v1 大家_人1 依_v2 長幼順序_n ，_x 很_zg 恭敬_a 的_uj 在_p 爺爺_人2 、_x 奶奶_人3 的_uj 墓前_地方 鞠躬_v3,依什麼在墓前鞠躬?,
B7 L2,我_人1 和_c 表姐_人2 、_x 堂弟_人3 坐在_v1 墓前_地方,誰坐在墓前?,
B7 L2,聽_v2 大人_人4 談著_v3 爺爺_人5 、_x 奶奶_人6 生前_t 的_uj 故事_物1,談著誰生前的故事?,
B7 L2,好像_v4 和_c 爺爺_人7 、_x 奶奶_人8 親近_v5 了_ul 許多_m,爺爺奶奶好像什麼許多?,
B7 L2,抬眼一望_v3 ，_x 遠_a 山_n 青翠_a 的_uj 綠色_n ，_x 被_p 春雨_n 洗_v4 得_ud 更_d 鮮明_a,山被什麼洗得更鮮明?,
B7 L2,我們_人1 這_r 個_zg 大家族_nz ，_x 就_d 這樣_r 團聚_v1 在_p 綠色的_a 春天_時 裡_f 了_ul,大家族團聚在哪裡?,
B7 L3,遇到_v1 困難_an ，_x 我_人1 垂頭喪氣_i,遇到困難時我如何?,
B7 L3,告訴_v4 我_人4 ，_x 你_人5 有_v5 什麼_r 困難_an ，_x 讓_v6 我_人6 來_v7 幫助_v8 你_人7  ,告訴我你有什麼讓我來幫助你?,
B7 L3,我_人1 一_r 聽到_v1 這_r 句_q 話_n ，_x 就_d 勇氣_n 百倍_m ，_x 不再_d 害怕_v2 失敗_v3,聽到這句話如何?,
B7 L3,不管_c 困難_an 有_v1 多_m 大_a ，_x 我_r 都_d 必須_d 勇往直前_i ,不管困難有多大都必須?,
B7 L3,每_zg 一次_m ，_x 朋友_人1 有_事 了_ul 困難_an ，_x 我_人2 一定_d 陪伴_v1 在_p 他_人3 身旁_s ,朋友有困難我一定如何?,
B7 L3,拍拍_v2 他_人4 的_uj 肩膀_物 說_zg ：_x 告訴_v3 我_人5 ，_x 你_人6 有_v4 什麼_r 困難_an ？,拍拍他的哪裡?,
B7 L3,讓_v1 他_人1 信心_n 滿滿_v2，_x 度過_v3 每_r 一個_m 難關_n,信心滿滿度過每一個什麼?,
B7 L3,有_v1 困難_an ，_x 請_v2 告訴_v3 我_人1 ,有困難要告訴誰?,
